Wavelength (nm),Normailze Light Intensity (a.u.)
951,0.789054
952,0.783153
953,0.786418
954,0.793346
955,0.793276
956,0.758855
957,0.715158
958,0.703151
959,0.690064
960,0.669028
961,0.655938
962,0.635058
963,0.608631
964,0.617414
965,0.618227
966,0.581314
967,0.587323
968,0.612632
969,0.605683
970,0.597561
971,0.604404
972,0.637274
973,0.655098
974,0.64182
975,0.62326
976,0.623108
977,0.646577
978,0.626648
979,0.586375
980,0.57502
981,0.526464
982,0.481719
983,0.527012
984,0.538819
985,0.498603
986,0.511843
987,0.508765
988,0.471871
989,0.509011
990,0.548711
991,0.529585
992,0.553357
993,0.591845
994,0.588033
995,0.610718
996,0.625941
997,0.555249
998,0.534999
999,0.561993
1000,0.490285
